profile_id,module_path,invocation_index,shape,dtype,epsilon,elementwise_affine,input_sha256,output_sha256,input_stats,output_stats
action_dit_norm3,action_head.model.transformer_blocks.10.norm3,10,"[1, 41, 1536]",bfloat16,1e-05,False,16ed7f4805e535f60c4dd89251f6d7c77285b7c9f6656819cf30807c01ea6191,511d54bebf032f09aac8c667a9e3a0f5adfd735d717f0d25de175a53ab468150,"{""inf_count"": 0, ""max"": 544.0, ""mean"": 0.10693193227052689, ""min"": -498.0, ""nan_count"": 0, ""std"": 9.743789672851562, ""zero_count"": 11}","{""inf_count"": 0, ""max"": 18.625, ""mean"": -9.083651093533263e-06, ""min"": -14.0, ""nan_count"": 0, ""std"": 0.9999656081199646, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.11.norm1.norm,11,"[1, 41, 1536]",bfloat16,1e-05,False,f3e8a943fe6b9eeb8c7b908d0c579f503f8c68314bf5304d2949f0f7250b201e,6386d2f1b06b9bfec9bd3e5824267dce49efc7438b74d5560887346d07b3fa08,"{""inf_count"": 0, ""max"": 564.0, ""mean"": 0.10077740252017975, ""min"": -512.0, ""nan_count"": 0, ""std"": 10.012955665588379, ""zero_count"": 11}","{""inf_count"": 0, ""max"": 18.125, ""mean"": -4.132346475671511e-06, ""min"": -14.1875, ""nan_count"": 0, ""std"": 0.9999823570251465, ""zero_count"": 0}"
action_dit_norm3,action_head.model.transformer_blocks.11.norm3,11,"[1, 41, 1536]",bfloat16,1e-05,False,719f15da174295c90f2d1df37982633b7d3d016ce57d2f135b70fe072a2bfc5b,9bbeb0370a74f4960035cc920fa2fc026245af65386d210e71279a83c38747df,"{""inf_count"": 0, ""max"": 564.0, ""mean"": 0.07733405381441116, ""min"": -512.0, ""nan_count"": 0, ""std"": 9.96686840057373, ""zero_count"": 25}","{""inf_count"": 0, ""max"": 18.0, ""mean"": 4.903330136585282e-06, ""min"": -14.25, ""nan_count"": 0, ""std"": 1.0000005960464478, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.12.norm1.norm,12,"[1, 41, 1536]",bfloat16,1e-05,False,441d087e809b2a8d28fb6e178ac91156fe9c35c4c52ba4bf89c7835f16e7d6d3,3196caf34657168054e60dc3d87b3af9a62ec0eb73afa17ead3f4e55e7a490a2,"{""inf_count"": 0, ""max"": 584.0, ""mean"": 0.06544443964958191, ""min"": -528.0, ""nan_count"": 0, ""std"": 10.261629104614258, ""zero_count"": 12}","{""inf_count"": 0, ""max"": 17.75, ""mean"": -2.2589190393773606e-06, ""min"": -14.4375, ""nan_count"": 0, ""std"": 1.0000590085983276, ""zero_count"": 0}"
action_dit_norm3,action_head.model.transformer_blocks.12.norm3,12,"[1, 41, 1536]",bfloat16,1e-05,False,1638388af081d4e52dee715fe625e972bed6dc23e0684393fbe7d88dfed05f47,2debc1abb43e2930505436c30576d42bf069a221bd5d42585759b27df92f21ed,"{""inf_count"": 0, ""max"": 584.0, ""mean"": 0.0703972578048706, ""min"": -528.0, ""nan_count"": 0, ""std"": 10.276756286621094, ""zero_count"": 20}","{""inf_count"": 0, ""max"": 17.875, ""mean"": 2.650710655416333e-07, ""min"": -14.3125, ""nan_count"": 0, ""std"": 1.0000160932540894, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.13.norm1.norm,13,"[1, 41, 1536]",bfloat16,1e-05,False,4d4b54eac7a4e5fb5c9748a42f5be4f4ae4a27fa636ce51b598eccdfdcbf9c6e,2a1308a853a3ea8db288bd6a62c46f4b139efd68c29351b2e1256fda425312c0,"{""inf_count"": 0, ""max"": 604.0, ""mean"": 0.06265894323587418, ""min"": -544.0, ""nan_count"": 0, ""std"": 10.638504028320312, ""zero_count"": 11}","{""inf_count"": 0, ""max"": 17.875, ""mean"": 1.3299588772497373e-06, ""min"": -14.375, ""nan_count"": 0, ""std"": 0.9999922513961792, ""zero_count"": 0}"
action_dit_norm3,action_head.model.transformer_blocks.13.norm3,13,"[1, 41, 1536]",bfloat16,1e-05,False,63193d184d7834127e81fa27edd83cea6bd8db787ee7242999c5e496f5e764ef,db6f6e394c6369c18acffecc17a8cd4195d1904e61cd040494a3d4d4defc72ac,"{""inf_count"": 0, ""max"": 604.0, ""mean"": 0.0617012120783329, ""min"": -544.0, ""nan_count"": 0, ""std"": 10.622146606445312, ""zero_count"": 13}","{""inf_count"": 0, ""max"": 18.0, ""mean"": 3.6908843412675196e-06, ""min"": -14.4375, ""nan_count"": 0, ""std"": 0.9999451041221619, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.14.norm1.norm,14,"[1, 41, 1536]",bfloat16,1e-05,False,cb5fbca74fc56f8ea709211eb2d67f626536b97231534a998109fb7473815d55,54750684f200f6214c8671b3f5f95758be1683ac8ba77d72f83e946a0ee807b0,"{""inf_count"": 0, ""max"": 624.0, ""mean"": 0.05791940912604332, ""min"": -556.0, ""nan_count"": 0, ""std"": 10.935288429260254, ""zero_count"": 16}","{""inf_count"": 0, ""max"": 17.5, ""mean"": -4.222722509439336e-06, ""min"": -14.625, ""nan_count"": 0, ""std"": 1.000028371810913, ""zero_count"": 0}"
action_dit_norm3,action_head.model.transformer_blocks.14.norm3,14,"[1, 41, 1536]",bfloat16,1e-05,False,344dcd55817587269cf8daaffbbbcd12f383748c6a62592ae446b18a334e0011,e31f271569fdd32709fbfe452fbd4c1387f0e346bd1f807e2759cda266593019,"{""inf_count"": 0, ""max"": 624.0, ""mean"": 0.05996664613485336, ""min"": -556.0, ""nan_count"": 0, ""std"": 10.945703506469727, ""zero_count"": 8}","{""inf_count"": 0, ""max"": 17.5, ""mean"": 1.3260580089990981e-05, ""min"": -14.5625, ""nan_count"": 0, ""std"": 1.0000849962234497, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.15.norm1.norm,15,"[1, 41, 1536]",bfloat16,1e-05,False,66cda7f73d97446cea2a92c4e109f583d9306b07856e68423bae8a6b994fa826,4f4e5d3bee8a24b2c10bd11ddc07b4fe8718a58e0c4cd169e822bf6b433e6db4,"{""inf_count"": 0, ""max"": 648.0, ""mean"": 0.06071111187338829, ""min"": -572.0, ""nan_count"": 0, ""std"": 11.406814575195312, ""zero_count"": 12}","{""inf_count"": 0, ""max"": 16.875, ""mean"": 7.832680239516776e-06, ""min"": -14.875, ""nan_count"": 0, ""std"": 0.9999555349349976, ""zero_count"": 0}"
